Title,"HE qualifications obtained by subject area, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2014/15 to 2018/19,,,,,
Data source,HESA,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb255/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb255/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2014/15 total,"745,030",,,,,
2015/16 total,"742,780",,,,,
2016/17 total,"757,300",,,,,
2017/18 total,"777,005",,,,,
2018/19 total,"801,135",,,,,
Last updated,Jan-20,,,,,
,,,,,,
,,,,,,
Subject Area,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
(1) Medicine & dentistry,All,Full-time,All,Female,2014/15,8685
(1) Medicine & dentistry,All,Full-time,All,Male,2014/15,6100
(1) Medicine & dentistry,All,Full-time,All,Other,2014/15,0
(1) Medicine & dentistry,All,Full-time,All,Total,2014/15,14785
(1) Medicine & dentistry,All,Full-time,All,Female,2015/16,8690
(1) Medicine & dentistry,All,Full-time,All,Male,2015/16,6060
(1) Medicine & dentistry,All,Full-time,All,Other,2015/16,0
(1) Medicine & dentistry,All,Full-time,All,Total,2015/16,14750
(1) Medicine & dentistry,All,Full-time,All,Female,2016/17,8460
(1) Medicine & dentistry,All,Full-time,All,Male,2016/17,6160
(1) Medicine & dentistry,All,Full-time,All,Other,2016/17,0
(1) Medicine & dentistry,All,Full-time,All,Total,2016/17,14620
(1) Medicine & dentistry,All,Full-time,All,Female,2017/18,8820
(1) Medicine & dentistry,All,Full-time,All,Male,2017/18,6250
(1) Medicine & dentistry,All,Full-time,All,Other,2017/18,10
(1) Medicine & dentistry,All,Full-time,All,Total,2017/18,15080
(1) Medicine & dentistry,All,Full-time,All,Female,2018/19,9135
(1) Medicine & dentistry,All,Full-time,All,Male,2018/19,6210
(1) Medicine & dentistry,All,Full-time,All,Other,2018/19,15
(1) Medicine & dentistry,All,Full-time,All,Total,2018/19,15360
